"OTU30","OTU738","OTU736","OTU128","OTU25","OTU861","OTU1243","OTU1026","OTU46","OTU729","OTU234","OTU730","OTU85","OTU48","OTU19","OTU1041","OTU718","OTU1069","OTU444","OTU84","OTU714","OTU325","OTU51","OTU734","OTU728","OTU731","OTU401","OTU724","OTU125","OTU1021","OTU752","OTU862","OTU533","OTU789","OTU743","OTU86","OTU692","OTU885","OTU122","OTU34","OTU769","OTU89","OTU889","OTU261","OTU29","OTU774","OTU37","OTU999","OTU810","OTU707","OTU1001","OTU795","OTU427"
"LOS3-middle disease",0.000535829106237051,0,3.57219404158034e-05,0,0.0011073801528899,0.000678716867900264,0.000178609702079017,7.14438808316068e-05,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0.0074301636064871,0,0,0,3.57219404158034e-05,0.00010716582124741,0,0.000142887761663214,0.000142887761663214,0.000642994927484461,0,7.14438808316068e-05,3.57219404158034e-05,0.000285775523326427,0.354183039222691,0,0,7.14438808316068e-05,0.158641137386583,0,7.14438808316068e-05,3.57219404158034e-05,0,0,0,0,0,3.57219404158034e-05,0.000321497463742231,0,0,0.472958491105237,0,0,0,0,0,0,0.00010716582124741,0
"LOS3-late disease",0.000178609702079017,0.000571551046652854,0,0,3.57219404158034e-05,0.00150032149746374,3.57219404158034e-05,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0.0111452454097307,0,0,0,0,0,0,0,0,3.57219404158034e-05,0,0,0,7.14438808316068e-05,0.929842109023362,0,0,0,0.0149674930342216,0,0.00021433164249482,0,0,0,0,0,0,0,0,0,0,0.0404015146102736,0,0,0,7.14438808316068e-05,0,0,0,0
"NEC1-early post partum",0.292276916482103,0,0.000142887761663214,0.0062870615131814,0.000178609702079017,0.00010716582124741,3.57219404158034e-05,0.0377580910195042,0.0231835393298564,0.00971636779309852,0.0032149746374223,3.57219404158034e-05,0.0031435307565907,0.000321497463742231,0,0.00603700793027077,0.000500107165821247,0.0813745802672001,0,0.00732299778523969,0.00196470672286919,0.0473672929913553,7.14438808316068e-05,3.57219404158034e-05,0.000178609702079017,0,0.000285775523326427,0.000642994927484461,0.00996642137600915,0.00753732942773451,0.00021433164249482,0.000500107165821247,0.014538829749232,0.0141101664642423,0.000178609702079017,0.0661213117096521,0,0.0119311280988783,0.00246481388869043,0.0470100735871973,0,7.14438808316068e-05,0.0356862184753876,0.0103950846609988,0.0156104879617061,0,0.016896477816675,0.0232192612702722,0.00621561763234979,0.000357219404158034,0.0336500678716868,0.029256269200543,0.0197899549903551
"NEC1-early pre-onset",0.00021433164249482,0,0,0,0.00693005644066586,0,0,3.57219404158034e-05,0,0,0,0,0,0.0283274987497321,0,0,7.14438808316068e-05,0.00010716582124741,0,3.57219404158034e-05,0,3.57219404158034e-05,0.000321497463742231,0,0,0,0,0.00010716582124741,0,0,0,0.0796956490676574,3.57219404158034e-05,0.000142887761663214,0,7.14438808316068e-05,0,0,0,3.57219404158034e-05,0,0,0,0,0.882724869614917,0,0,3.57219404158034e-05,0,0.00010716582124741,0,3.57219404158034e-05,0
"NEC1-late pre-onset",3.57219404158034e-05,0,0,0,0.00264342359076945,0.000857326569979281,0,0,0,0,0,0,0,0.0335071801100236,0,0,0,0,3.57219404158034e-05,0,0,0,0.000357219404158034,0,0,0,0,3.57219404158034e-05,0,0,0,0.0907337286561406,0,3.57219404158034e-05,0,0,0,0,0,0,0,0,0,0,0.870043580767307,0,0,0,0,0,0,0,0
"NEC1-early disease",0.0042390035971994,0,4.76292538758305e-05,9.5258507787383e-05,0.0990569407730228,8.33511942916339e-05,0,0.000750160748731871,0.000392941344573837,0.000154795075123241,0.000119073134707437,3.57219404158034e-05,1.19073134600271e-05,0.567895501536043,0,8.33511942916339e-05,4.76292538758305e-05,0.000964492391226691,3.57219404158034e-05,9.5258507787383e-05,7.14438808316068e-05,0.000821604629563478,0.000178609702079017,3.57219404158034e-05,3.57219404158034e-05,0.000130980448203186,0.000440570598342502,0.000440570598342502,0.000190517015539044,0.000142887761663214,0.000357219404158034,0.0283751280024291,0.000261960896370651,0.00145269224369508,0.000130980448203186,0.00117882403372151,0,0.00010716582124741,8.33511942916339e-05,0.00109547283953704,0,0.000476292538758305,0.000607272987068658,0.000130980448203186,0.280833988247482,0.00010716582124741,0.000297682836786454,0.000416755971636779,0.000154795075123241,0,0.000642994927484461,0.000535829106237051,0.0002738682098664
"NEC1-middle disease",0.00317210830892334,1.42887761663214e-05,0.00021433164249482,0.00010716582124741,0.0279988568979067,0.00860184325212546,0,0.000335786239908552,0.000221476030577981,0.000114310209330571,0.000435807673072801,0.000221476030577981,2.85775523326427e-05,0.929334857469458,0.00392226905765521,2.85775523326427e-05,7.14438808316068e-06,0.000671572479817104,0.00169321997570908,2.85775523326427e-05,7.85882689147675e-05,0.000943059226977209,1.42887761663214e-05,0.000114310209330571,0.000228620418661142,0.000128598985496892,0.00167893119954276,0.0014717439451311,8.57326569979281e-05,1.42887761663214e-05,0.000357219404158034,5.00107165821247e-05,6.42994927484461e-05,0,0.000378652568407516,0.000464385225405444,2.85775523326427e-05,0.000185754090162178,0.000142887761663214,0.000464385225405444,7.14438808316068e-06,0.0014717439451311,0.00031435307565907,5.00107165821247e-05,0.000164320925912696,2.85775523326427e-05,0.00010716582124741,0.000307208687575909,7.14438808316068e-05,0,0.000250053582910624,0.000142887761663214,8.57326569979281e-05
"NEC1-late disease",0.00556071539258413,0,0.000392941344573837,0.000190517015539044,0.00879950465456884,0.000666809554547403,0,0.000476292538758305,0.000488199852468386,0.00016670238861899,0.000595365673715796,0.000416755971636779,3.57219404158034e-05,0.319080279095521,0.00226238955954847,7.14438808316068e-05,0.36091067121526,0.00146459955704794,8.33511942916339e-05,3.57219404158034e-05,0.000202424329034793,0.00190517015539044,0.00021433164249482,0.000226238955954847,0.000416755971636779,0.000345312090698007,0.0042747255376152,0.000428663284989641,0.000154795075123241,5.95365673715796e-05,0.000666809554547403,0.0221714176859327,0.00010716582124741,5.95365673715796e-05,0.000916863137458027,0.000452477912052583,1.19073134600271e-05,0.000178609702079017,0.00010716582124741,0.000488199852468386,0.0187063894655998,0.00381034031220976,0.000440570598342502,3.57219404158034e-05,0.193362863470744,5.95365673715796e-05,2.38146269557762e-05,0.000666809554547403,0.000226238955954847,1.19073134600271e-05,0.000309590150282203,0.00021433164249482,0.000178609702079017
"NEC3-early post partum",0.172144030863757,0.000142887761663214,0.00882331928270344,0.00485818389654926,0.00414374508823319,0.000928770450810888,0.000142887761663214,0.0112881331713939,0.00993069943559334,0.00689433450025005,0.0354718868328928,0.0135386154175895,0.00235764806744302,0.00928770450810888,0,0.0010716582124741,0,0.0448667571622491,7.14438808316068e-05,0.00142887761663214,0.00668000285775523,0.0551189540615846,0.000321497463742231,0.00703722226191327,0.0132885618346789,0.0108237479459884,0.113059941416018,0.000285775523326427,0.00307208687575909,0.000821604629563478,0.0234693148531828,0.0118954061584625,0.00200042866328499,0.000714438808316068,0.0318996927913124,0.0138243909409159,3.57219404158034e-05,0.0084660998785454,0.0129670643709366,0.00943059226977209,0.000500107165821247,0.115667643066371,0.0168250339358434,0.00203615060370079,0.118239622776309,0.00350075016074873,0.00135743373580053,0.0206830035007502,0.00600128598985497,0.00010716582124741,0.0105022504822462,0.00482246195613346,0.00571551046652854
"NEC3-early pre-onset",0.0999142673430021,7.14438808316068e-05,0.0074301636064871,0.00337572336929342,0.00010716582124741,0.39563835107523,0,0.00762663427877402,0.00716224905336858,0.00467957419447024,0.00980567264413803,0.00726941487461599,0.000964492391226691,0.000464385225405444,0,0.000928770450810888,1.78609702079017e-05,0.0220225762663428,0.076302064728156,0.000910909480602986,0.00307208687575909,0.0320247195827677,0.000160748731871115,0.00373294277345145,0.00701936129170537,0.00791240980210045,0.0744802457669501,0.000303636493534329,0.00223262127598771,0.000410802314781739,0.0138243909409159,0.00182181896120597,0.000517968136029149,0.00778738301064514,0.0178252482674859,0.0100735871972566,0,0.00601914696006287,0.00403657926698578,0.00748374651711081,0.000250053582910624,0.0690683717939558,0.00910909480602986,0.00133957276559263,0.0156104879617061,0.00153604343787955,0.000982353361434593,0.0126812888476102,0.00382224762449096,0,0.0063227834535972,0.00300064299492748,0.00325069657783811
"NEC3-late pre-onset",0.00609654449882118,1.19073134600271e-05,0.000500107165821247,7.14438808316068e-05,0.000714438808316068,0.521147388726156,0.0321378390619418,0.000261960896370651,0.000250053582910624,0.000190517015539044,0.000809697316210617,0.000619180300421519,4.76292538758305e-05,0,3.57219404158034e-05,8.33511942916339e-05,0,0.00148841418411088,0.106177514217332,2.38146269557762e-05,0.000142887761663214,0.0020718725441166,0.00868043152104022,0.000190517015539044,0.000535829106237051,0.000428663284989641,0.00495344240551547,0.000261960896370651,0.00010716582124741,1.19073134600271e-05,0.000976399704579553,0.0179443214010145,0.000130980448203186,0.0919959038722583,0.000988307018289634,0.000369126717510895,0,0.000202424329034793,0.000392941344573837,0.000392941344573837,0,0.00364363792241195,0.000464385225405444,2.38146269557762e-05,0.181288847610202,0,7.14438808316068e-05,0.000881141197042223,0.000226238955954847,0.000119073134707437,0.000285775523326427,0.000202424329034793,0.000226238955954847
"NEC3-early disease",0.000464385225405444,1.78609702079017e-05,7.14438808316068e-05,1.78609702079017e-05,0.0202543402157605,0.458598271058084,0.0482067585911267,0,0,0,0,1.78609702079017e-05,0,1.78609702079017e-05,0.00139315567621633,0,0,7.14438808316068e-05,0.0160570122169036,0,5.35829106237051e-05,0.00010716582124741,0.0129492034007287,1.78609702079017e-05,1.78609702079017e-05,3.57219404158034e-05,0.000285775523326427,1.78609702079017e-05,1.78609702079017e-05,0,0.000142887761663214,0.0268986211330999,0,0.137958133885833,7.14438808316068e-05,3.57219404158034e-05,1.78609702079017e-05,0,1.78609702079017e-05,1.78609702079017e-05,0,0.000464385225405444,1.78609702079017e-05,0,0.271772522683432,5.35829106237051e-05,0,8.93048510395085e-05,0,0.000178609702079017,0,1.78609702079017e-05,0
"NEC3-middle disease",0.000857326569979281,0,0.00010716582124741,3.57219404158034e-05,0.039615631921126,0.917196542116168,0,0,0,0,0,3.57219404158034e-05,0,3.57219404158034e-05,0.00267914553118525,0,0,7.14438808316068e-05,0.0321140244338072,0,7.14438808316068e-05,0.000178609702079017,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,0.000571551046652854,3.57219404158034e-05,3.57219404158034e-05,0,0.000285775523326427,0,0,0,0.000142887761663214,7.14438808316068e-05,3.57219404158034e-05,0,3.57219404158034e-05,3.57219404158034e-05,0,0.000928770450810888,3.57219404158034e-05,0,7.14438808316068e-05,0.00010716582124741,0,0.000178609702079017,0,0,0,3.57219404158034e-05,0
"NEC3-late disease",0.000785882689147674,0.00121454597413732,3.57219404158034e-05,0,0.000428663284989641,3.57219404158034e-05,0.0298635421876116,3.57219404158034e-05,7.14438808316068e-05,3.57219404158034e-05,0.000250053582910624,3.57219404158034e-05,0,0.0118596842180467,0.00135743373580053,3.57219404158034e-05,0,0.000357219404158034,0,0,3.57219404158034e-05,0.000357219404158034,0.00900192898478245,3.57219404158034e-05,3.57219404158034e-05,0,0.000714438808316068,3.57219404158034e-05,0,0,0.000142887761663214,0.0850182181896121,0,0.0639779952847039,0.000285775523326427,0,0,0,0.00010716582124741,0,0,0.000607272987068658,0.00021433164249482,0,0.790490819461313,3.57219404158034e-05,0,0.000142887761663214,3.57219404158034e-05,7.14438808316068e-05,0,3.57219404158034e-05,3.57219404158034e-05
"NEC4-early post partum",0.196756447810245,7.14438808316068e-05,0.0104665285418304,0.004179467028649,7.14438808316068e-05,0.000857326569979281,0.00132171179538473,0.0112524112309781,0.00914481674644567,0.00703722226191327,0.0200757305136815,0.0135386154175895,0.00160748731871115,0.00117882403372151,0.00010716582124741,0.00200042866328499,0.00282203329284847,0.0511895406158463,0.000142887761663214,0.00128598985496892,0.0084660998785454,0.0626920054297349,0.000428663284989641,0.00732299778523969,0.0143244981067372,0.0112524112309781,0.132242623419304,0.000607272987068658,0.00400085732656998,0.00117882403372151,0.0268628991926841,0.00160748731871115,0.00225048224619561,0.0410087875973423,0.0286489962134743,0.0196827891691077,3.57219404158034e-05,0.00996642137600915,0.00714438808316068,0.0120740158605415,0.00414374508823319,0.127705936986497,0.0160391512466957,0.00239337000785883,0.0133600057155105,0.00242909194827463,0.00232192612702722,0.0238622561977567,0.00467957419447024,0.00010716582124741,0.0109309137672358,0.00414374508823319,0.0063227834535972
"NEC4-early pre-onset",0.00114310209330571,0,1.78609702079017e-05,3.57219404158034e-05,0,1.78609702079017e-05,0.0199685646924341,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,0.000160748731871115,0,1.78609702079017e-05,0.000142887761663214,0,0,0.145066800028578,0.000410802314781739,0,1.78609702079017e-05,7.14438808316068e-05,0.000267914553118525,0.00446524255197542,0,0,0,5.35829106237051e-05,5.35829106237051e-05,0,1.78609702079017e-05,1.78609702079017e-05,0.0492784168036008,1.78609702079017e-05,0.277380867328713,3.57219404158034e-05,0.000160748731871115,0,1.78609702079017e-05,7.14438808316068e-05,8.93048510395085e-05,0,7.14438808316068e-05,0.000142887761663214,0,0.490765878402515,0,0,0.00021433164249482,1.78609702079017e-05,0.00010716582124741,0.000142887761663214,3.57219404158034e-05,1.78609702079017e-05
"NEC4-late pre-onset",0.000750160748731871,0.000250053582910624,0,3.57219404158034e-05,0.00460813031363864,0.000321497463742231,0.0922697720940202,0.00010716582124741,7.14438808316068e-05,0.00010716582124741,7.14438808316068e-05,0,0,0.0226477102236193,0.00010716582124741,3.57219404158034e-05,0.00185754090162178,0.000178609702079017,0,0,0.00010716582124741,0.000178609702079017,0.0181824676716439,0,0,0,7.14438808316068e-05,7.14438808316068e-05,0,0,0,0.0157533757233693,3.57219404158034e-05,0.659534185896978,0,3.57219404158034e-05,3.57219404158034e-05,3.57219404158034e-05,0,0.00010716582124741,7.14438808316068e-05,0,3.57219404158034e-05,0,0.178431092376938,0,0,0.000178609702079017,3.57219404158034e-05,0.000285775523326427,0,0,3.57219404158034e-05
"NEC4-early disease",3.57219404158034e-05,0.000500107165821247,0,0,0.000178609702079017,0.000357219404158034,0.0184325212545545,0,0,0,0,3.57219404158034e-05,0,0.00860898764020862,0.000142887761663214,0,0.0122169036222048,0,0,0,0,0,0.00621561763234979,0,0,0,3.57219404158034e-05,0.0129313424305208,0,0,0,0.0880903050653711,0,0.02579124098021,0,0,0,0,0,0,0,7.14438808316068e-05,0,0,0.822640565835536,0,0,0,0,0.000142887761663214,0,0,0
"NEC4-middle disease",3.57219404158034e-05,0.00125537115096092,2.04125384010859e-05,0,0.000158197149389155,0.000153094020147174,0.0605435807673073,0,0,0,0,1.53094020147174e-05,0,0.004179467028649,6.12376223476459e-05,0,0.00552159034078731,0,0,0,0,0,0.0144826962920626,0,0,0,3.57219404158034e-05,0.0573898335357577,0,0,0,0.0619622419089805,0,0.173925019647067,0,0,0,0,0,0,0.000408250696577838,5.10313281417447e-05,0,0,0.614269486318497,0,0,0,2.04125384010859e-05,0.000224537900978781,0,0,0
"NEC4-late disease",3.57219404158034e-05,0.00182181896120597,3.57219404158034e-05,0,0.000142887761663214,0,0.0921268843323569,0,0,0,0,0,0,0.000857326569979281,0,0,0.000500107165821247,0,0,0,0,0,0.0206830035007502,0,0,0,3.57219404158034e-05,0.0907337286561406,0,0,0,0.0423662213331428,0,0.285025362577695,0,0,0,0,0,0,0.000714438808316068,3.57219404158034e-05,0,0,0.457990998071015,0,0,0,3.57219404158034e-05,0.000285775523326427,0,0,0
