,OTU54,OTU295,OTU865,OTU42,OTU31,OTU317,OTU24,OTU190,OTU1094,OTU18,OTU357,OTU57,OTU790,OTU979,OTU30,OTU138,OTU850,OTU72,OTU435,OTU211,OTU738,OTU142,OTU256,OTU458,OTU236,OTU315,OTU354,OTU736,OTU1073,OTU128,OTU1242,OTU53,OTU322,OTU785,OTU302,OTU25,OTU721,OTU129,OTU374,OTU914,OTU861,OTU516,OTU281,OTU1243,OTU508,OTU1002,OTU1026,OTU703,OTU527,OTU1111,OTU1075,OTU690,OTU807,OTU64,OTU1117,OTU744,OTU46,OTU32,OTU655,OTU537,OTU159,OTU729,OTU149,OTU384,OTU382,OTU875,OTU38,OTU1028,OTU777,OTU59,OTU695,OTU309,OTU766,OTU521,OTU398,OTU488,OTU373,OTU932,OTU245,OTU418,OTU1,OTU234,OTU745,OTU708,OTU871,OTU395,OTU730,OTU1088,OTU68,OTU85,OTU764,OTU381,OTU80,OTU76,OTU830,OTU1101,OTU33,OTU523,OTU1015,OTU48,OTU1225,OTU706,OTU825,OTU184,OTU50,OTU19,OTU1041,OTU827,OTU751,OTU420,OTU495,OTU525,OTU772,OTU771,OTU487,OTU1014,OTU204,OTU449,OTU446,OTU630,OTU1235,OTU718,OTU1069,OTU870,OTU288,OTU444,OTU84,OTU821,OTU396,OTU75,OTU329,OTU346,OTU978,OTU714,OTU590,OTU108,OTU868,OTU45,OTU325,OTU415,OTU1234,OTU765,OTU720,OTU945,OTU51,OTU1105,OTU734,OTU270,OTU136,OTU705,OTU36,OTU463,OTU750,OTU728,OTU379,OTU731,OTU833,OTU78,OTU228,OTU616,OTU404,OTU803,OTU801,OTU112,OTU246,OTU47,OTU401,OTU724,OTU878,OTU1184,OTU691,OTU1110,OTU836,OTU1078,OTU529,OTU343,OTU1113,OTU798,OTU1232,OTU260,OTU65,OTU41,OTU710,OTU1074,OTU146,OTU21,OTU333,OTU685,OTU4,OTU709,OTU352,OTU873,OTU908,OTU788,OTU297,OTU1077,OTU815,OTU532,OTU6,OTU450,OTU524,OTU125,OTU1021,OTU63,OTU1229,OTU390,OTU610,OTU1100,OTU67,OTU319,OTU274,OTU802,OTU752,OTU837,OTU225,OTU505,OTU436,OTU437,OTU864,OTU717,OTU862,OTU533,OTU389,OTU689,OTU789,OTU156,OTU832,OTU753,OTU209,OTU740,OTU711,OTU79,OTU1239,OTU202,OTU383,OTU743,OTU86,OTU704,OTU732,OTU1237,OTU956,OTU5,OTU1139,OTU692,OTU1135,OTU723,OTU151,OTU522,OTU768,OTU770,OTU1192,OTU338,OTU1207,OTU3,OTU867,OTU885,OTU819,OTU55,OTU122,OTU447,OTU716,OTU1233,OTU698,OTU34,OTU1082,OTU534,OTU769,OTU387,OTU89,OTU889,OTU767,OTU905,OTU263,OTU261,OTU1018,OTU426,OTU29,OTU786,OTU82,OTU386,OTU376,OTU943,OTU179,OTU7,OTU312,OTU481,OTU737,OTU20,OTU320,OTU774,OTU626,OTU434,OTU605,OTU456,OTU863,OTU893,OTU70,OTU1236,OTU1090,OTU952,OTU69,OTU37,OTU999,OTU872,OTU810,OTU496,OTU1104,OTU707,OTU1001,OTU1031,OTU795,OTU466,OTU866,OTU427,OTU279,OTU469,OTU792,OTU49,OTU712,OTU1093,OTU460,OTU272,OTU874,OTU375,OTU345,OTU869,OTU797,OTU509
control9-early post partum,0,0,0,1,4,20,0,0,1,1,0,8,0,3,1051,0,0,0,0,2,0,0,3,0,0,2,0,0,0,17,0,1,11,0,0,4,0,0,0,2,5,0,2,0,0,0,237,0,2,0,0,0,0,0,0,0,114,1,0,0,0,25,5,16,0,0,3,4,3,2,0,1,0,0,0,0,3,0,1,0,10,12,0,1,0,0,0,4,0,2,0,2,0,0,1,0,2,0,0,24234,0,0,0,0,0,0,22,0,0,0,0,20,0,0,0,0,1,0,0,0,16,2,90,19,4,0,35,3,0,1,0,0,0,4,0,0,0,0,150,0,0,0,0,0,3,10,1,0,0,0,4,0,3,0,0,0,2,32,11,6,0,3,0,1,0,1,1,33,5,0,0,0,0,0,2,1,15,0,0,4,0,0,0,0,0,3,8,0,1,0,0,0,0,0,1,0,0,2,0,5,2,22,27,5,0,0,0,0,0,12,2,8,0,0,1,0,0,0,0,0,1,42,1,0,2,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,1,42,0,1,7,1,0,0,0,276,0,0,0,13,0,142,0,0,0,35,1,0,6,0,14,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,90,0,20,0,0,2,186,0,124,0,0,71,10,0,1,1,0,0,0,0,2,1,0,0,3,0
control9-early pre-onset,0,0,0,0,1,3,0,0,1,1,0,1,0,0,277,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,2152,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24292,0,0,0,0,0,0,3,1,1,0,1,7,0,0,28,2,0,2,0,1,3,1,24,5,2,638,9,2,0,0,0,1,0,3,0,0,0,0,30,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,1,0,0,0,0,0,39,0,8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,5,2,0,0,0,0,0,2,1,5,0,0,0,4,0,1,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,12,0,1,2,0,0,0,0,59,0,0,0,2,0,21,0,0,0,6,0,0,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,23,2,1,0,0,0,17,0,21,0,0,14,0,0,2,3,0,0,10,0,0,1,0,0,0,0
control9-late pre-onset,5,0,2,0,16,78,0,3,8,3,0,60,0,8,6318,2,0,0,0,13,1,0,6,0,0,10,0,0,1,99,0,1,47,0,0,7633,0,0,13,6,25,0,1,10,4,0,856,0,2,3,2,0,0,0,6,0,469,7,1,0,1,141,13,80,4,4,5,45,13,18,0,8,0,0,7,0,10,4,3,0,56,43,2,4,0,0,0,8,0,37,0,10,4,5,2,0,1,0,0,13,0,0,0,0,0,8,120,2,4,3,0,114,4,1,0,10,5,0,0,14,48,110,809,67,46,10,148,15,0,2,0,1,0,103,3,5,0,5,941,0,0,0,0,0,4,46,2,0,0,0,52,1,20,1,2,0,1,139,61,60,0,14,2,5,0,1,8,37,2,68,0,0,0,3,0,0,65,0,1,11,0,7,1,0,0,26,20,1,0,0,0,0,6,0,6,6,0,4,0,13,12,188,101,32,0,1,7,0,0,27,23,81,0,0,18,0,0,0,0,0,27,172,0,0,725,0,0,0,2,0,0,10,1,0,2,3,1370,1,2,0,0,1,0,4,2,0,0,0,0,0,35,2,0,33,15,176,48,3,32,4,2,0,3,1143,0,0,0,65,0,507,1,0,0,129,7,0,871,1,42,17,1,0,0,6,1,8,0,4,0,0,0,22,16,0,0,1,0,0,10,0,0,382,441,17,85,0,6,19,583,0,528,0,0,316,14,0,5,0,0,0,0,0,2,20,0,2,3,0
LOS1-early disease,0,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,9272.333333,0,0,0,0,311.3333333,0,0,0.333333333,9,0,0.666666667,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0.333333333,0,0.666666667,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,4.666666667,0,0,9,0,0,0.333333333,0,0,0,0,0.666666667,0,0.333333333,0,0,4,3,0,0,0,0,6.333333333,0,0,0,0,0,0,3,0,2.666666667,0,0.666666667,0,0,0,0,0,0,0,0,0,0,10.66666667,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,4,0,0,0.333333333,0,0,0,0,1745.666667,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,2.666666667,0.666666667,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,6,0,1.666666667,0,0,0,0,1,0,0,0,0,9,0.666666667,0,0.333333333,0,0.666666667,0,0,16464.66667,0,0.666666667,0.333333333,0,0,0,0,0,13.66666667,0,0,0.333333333,0.666666667,0,52.33333333,0,0,0,0,0,0.333333333,0,0,0,0,1.666666667,0,1,0,2.333333333,1.666666667,0.333333333,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0
LOS1-early post partum,1.5,0,3,0,3,16,0,1,0.5,0,0.5,24,0,6,5011.5,4,0,0,0,17.5,38,21.5,0,0,0.5,5,0,279.5,2,130,0,0,28.5,5,1.5,316.5,0,2,0,0.5,78,0,3,1,0,0,290,0,1,0,1,0,2.5,0.5,0,1.5,223.5,3,0.5,0,2,241.5,2.5,7.5,0,1,3.5,37.5,15,0.5,8,3,0,3.5,4,0,0,1,1.5,0,0,873.5,4.5,0,1.5,6.5,356.5,17,0,72.5,0,3,0,0,5,2.5,1.5,0,0.5,27.5,0,0,0,0,0,36.5,45.5,1,2,0.5,1,16,2,1.5,0,5.5,0,0,0,1,5,1,1383,42,27,8,24,11.5,6.5,0,5,2.5,0.5,191,5.5,69,1.5,0,1537.5,0,0.5,0,12,0,4,24.5,211.5,1,0,0,1.5,0,9.5,371,0,294.5,2.5,6.5,5,6.5,1.5,12,0.5,9.5,3.5,9,3280,557.5,7,13,0,0,0,5,1.5,1.5,38.5,6.5,2.5,0,0,0,0.5,0,2,3.5,3.5,0,0.5,0,0,1,2,0,0.5,0,1,5.5,0,4,3,76.5,9.5,6,0,1,2,0,0,11,20,15.5,656.5,3,23.5,0,0,0,0,0,403.5,58.5,0,0,236,0,1,2,3.5,1,2.5,0,3,19,0,894,364,0,6.5,0,0.5,0.5,0,38,0.5,5,0,0,0,0.5,3,21,0,0,10.5,218,0.5,0.5,363.5,0.5,6,0,3,200.5,0,0,4,0,3336.5,341,0,1.5,0,50.5,5,0,2120,0,31,10,1,0,0,0,0.5,0,10.5,0,5.5,256.5,0.5,0,0.5,1.5,0,5,0,62.5,0.5,4,0,68.5,634.5,4.5,159,0,0.5,3.5,254,4,128.5,0,0,168.5,7,0,7,0,0,8,0,0,2,1.5,0,1,15,0
LOS1-early pre-onset,2,0,1,0,2,22,1,1,2,0,0,24,0,7,5465,2,0,0,0,11,0,39,1,0,1,4,2,335,3,144,0,1,43,0,2,5,0,0,0,0,147,0,0,0,0,0,347,0,6,1,0,0,1,0,0,0,306,1,2,0,4,196,10,10,0,2,5,37,19,3,15,2,0,2,5,0,0,0,0,0,0,1086,6,2,1,7,400,14,0,83,0,2,0,0,6,6,0,0,1,22,0,0,1,1,0,0,54,1,8,0,2,28,0,0,0,7,0,0,0,3,5,0,1370,45,34,4,32,8,0,0,0,2,1,176,6,53,4,0,1688,0,1,0,9,1,4,32,254,1,0,0,3,0,10,437,0,338,0,10,7,7,4,11,4,4,10,5,4171,21,10,11,0,2,0,8,0,0,41,3,1,1,0,0,1,0,0,4,6,0,1,0,0,0,0,0,2,0,0,15,0,12,13,107,12,2,6,2,0,1,0,17,12,31,821,0,29,0,0,0,0,0,22,78,0,0,33,0,0,0,7,0,0,0,0,22,0,884,473,0,4,0,0,0,1,3,0,1,1,0,0,0,3,17,0,0,14,256,0,0,490,2,0,0,0,273,1,0,0,0,3876,409,0,0,0,58,6,0,148,2,24,14,0,0,1,0,1,0,7,1,1,303,1,0,2,0,0,2,0,22,0,5,0,62,679,2,183,0,0,3,266,6,167,0,0,185,22,0,8,0,0,5,0,2,4,0,0,4,3,0
LOS1-late pre-onset,0.5,23,0,0,0,1.5,0,0,0,0,0,1.5,0,0,364.5,0,0,0,19.5,0,1,0,0,1.5,0,1,0,1.5,0.5,3.5,0,0,3,0,0,1601.5,0,0,0,0,9545.5,2.5,0,0,0,1.5,17.5,0,0,6.5,0,0,0,0,0,0,9.5,0,0,0,0,10,1,2,0,0,0.5,11,0,0.5,0,0,0,0,0,9,0,6.5,0,6.5,0,40,0,0,0,0,2,2,0,2,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0.5,0,0,26.5,1,0,2,9,0,0.5,0,77.5,0.5,1.5,1694.5,3,2,0,0,0,0,0,8.5,0,1,0,0,74.5,2.5,0,0,0,0,3,12,0.5,1,0,0,0,2,2.5,2,0,0,0,1.5,2,1.5,0,0,0,0,0,0,5.5,1,0.5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,10.5,2.5,0.5,0,0,0,0,0,0,1,1,5,0.5,2,27,4,13,0,0,1330.5,7,0,0,1,0,0,0,0.5,0,0,0,0,0.5,0,4,21.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.5,11.5,5,0,14.5,0.5,0,0,0,19.5,0,0,0.5,0,3.5,13,0,3.5,0,3,1.5,60,12553.5,0,0.5,1,0,0.5,0,0,0,9.5,0,0,0,13,0,17,0,0.5,0,0,0,1,0,1,0,5,39,0.5,9.5,1.5,1.5,0.5,9,0.5,9.5,4.5,0,12,1,24,0,0,0,0,32,0,0,0,0,0.5,0,16.5
LOS2-early disease,0,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0.666666667,0,0,111,0,0,0,0,0,17,0.666666667,0,0,0,0,0,7,0,2,0,0,0.333333333,0,0,80,0,0.333333333,0,0,0,0,0,5.666666667,0,0,5,0,0,2.333333333,0,0,0,2,0,0,3.666666667,0,0,0,0,7,0,0,0,1,0,1.333333333,0.333333333,0,0,0,0.666666667,0,0.333333333,0,0,3.333333333,0,0,0,22.66666667,0,0,0,1,7.333333333,0,0,1,0.333333333,0,0,0,0,0,0,0.333333333,0,37.33333333,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0.333333333,38.33333333,35.66666667,0.666666667,1,0,2.666666667,0,5.333333333,0,0.333333333,0,0,7,0,0.666666667,0,0,35,0,0.333333333,0,0.333333333,0,8.666666667,2,7,0,0,0,0,0,0.333333333,9,0,8,0.333333333,0,0,0,0,0.333333333,0,0,0,0,82.33333333,19.66666667,0.333333333,1.333333333,0,0,0,0,0,0,1,0,0,0,2.666666667,0,0,0,0.333333333,0,0.333333333,0,1,0,0,0,0,0.333333333,0,0,0,0,0,1.666666667,0,4.666666667,0,0,0,0,0,0.333333333,0,0,0,0.333333333,15.66666667,0,0.333333333,0,0,0,0,0,2681.666667,1.666666667,0.666666667,1,90.33333333,0,0,0,0,2,0,0,0,1.666666667,0,18,9,0,0.333333333,0,1.666666667,0,0,0.666666667,0,0,0,0,0.333333333,0,0.333333333,1,0,0,0,5,0,0,10.66666667,0,1.333333333,0,0,4.666666667,0,0,9.666666667,0,83.66666667,6.666666667,0,2.333333333,0.333333333,1,0,0,24394.66667,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,1.333333333,1,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0.666666667,16.66666667,0,2,0,0,3.666666667,6,0,1.333333333,0,0,4,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0,0,1.333333333,2,0,0
LOS2-early post partum,0,0,3,0,4,73,0,1,1,1,0,34,0,9,4615,2,1,0,0,15,0,31,6,0,0,6,0,371,7,137,0,0,15,0,0,16,0,0,0,1,72,0,1,0,0,5,316,0,8,37,0,0,0,0,0,2,317,0,2,0,1,222,13,2,0,0,8,28,8,2,4,0,0,7,2,0,0,32,2,0,0,936,7,0,3,8,304,19,0,74,0,2,0,0,2,5,0,0,0,1,0,0,1,1,0,1,41,1,2,0,0,14,1,1,0,0,0,0,0,0,9,4,965,46,34,7,25,3,0,0,4,0,2,2745,4,2,10,1,1372,0,2,0,15,0,8,33,191,0,0,0,0,0,18,407,0,371,7,15,15,6,0,6,1,9,3,3,3644,13,9,3,0,2,0,5,1,1,40,0,4,0,0,1,0,0,0,5,6,0,0,0,0,0,0,0,4,0,0,5,0,21,8,78,24,9,0,1,0,4,0,14,29,43,706,0,46,0,0,0,0,0,73,32,0,0,235,0,0,2,1,0,0,0,0,17,1,712,453,3,4,0,7,1,0,668,3,0,0,0,0,0,0,0,0,0,23,260,0,2,358,0,1,0,2,323,0,0,44,0,3414,428,0,17,4,43,5,0,461,0,19,11,1,0,0,0,1,0,10,2,0,28,0,0,0,0,0,4,0,24,2,1,0,43,569,7,179,0,0,2,236,1,131,0,0,164,2,0,8,0,0,15,0,0,0,0,0,0,4,0
LOS2-early pre-onset,0,0,7,0,1,71,0,0,5,0,2,48,0,12,5726,3,0,0,0,15,3,29,5,0,0,0,4,309,3,168,0,3,23,0,0,2,1,1,0,0,56,0,4,3,0,5,351,0,0,26,0,0,0,0,0,0,350,0,0,0,2,244,5,5,0,1,1,36,14,2,10,1,0,5,6,0,0,34,1,0,0,389,8,0,2,11,373,18,0,33,0,2,0,0,4,5,1,0,0,10,0,0,2,3,1,0,46,1,0,0,4,18,0,5,1,3,1,0,0,0,10,20,1269,66,28,7,37,21,2,0,9,1,0,308,4,34,4,1,1751,0,13,0,11,0,6,24,203,0,0,0,0,0,7,411,0,305,7,8,8,9,6,11,1,3,1,9,3872,151,15,1,0,2,6,3,1,0,42,1,0,1,0,0,0,0,14,1,13,0,0,0,4,0,1,0,0,0,1,1,0,23,5,129,22,1,0,2,1,2,0,18,26,25,727,3,23,0,0,0,0,9,75,43,0,0,401,0,0,4,1,3,0,0,2,11,0,860,507,3,11,1,11,2,0,22,1,0,9,0,0,10,0,7,0,0,44,278,0,1,136,2,1,0,17,317,0,0,65,2,3790,460,4,14,5,53,4,0,500,0,25,21,1,0,0,0,1,0,9,2,19,267,1,0,0,2,0,5,0,2,1,6,0,68,680,2,160,0,0,2,329,1,188,0,0,171,10,0,19,0,0,9,0,0,2,0,4,1,4,0
LOS2-late pre-onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS3-early disease,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,22,0,0,51,0,0,470,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,344.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,8.5,0,0.5,0,0,0,0,0,1.5,0,0,0,0,2.5,1,0,0,0,0,75.5,6.5,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,0,0,0.5,0,0,0,0,3392.5,0.5,1,0,12523.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,8.5,0,0,0,0,0.5,0,0,11012.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22.5,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
LOS3-early post partum,0.5,0,1,0,0.5,28.5,0,0.5,1.5,0,0,11.5,0,1.5,2426.5,1,0,0,0,2,0.5,14.5,1.5,0,0,2,2.5,164.5,1,65,0,1,5.5,0,0,20,0.5,2.5,0,1,7.5,0,0.5,26.5,0,3.5,151.5,0,1.5,38.5,0,0,0.5,0.5,0,2.5,104.5,0,0.5,9.5,1,102.5,1,2.5,0,9,2.5,18,6,1.5,4.5,1,0,0,1,0,0.5,38.5,0.5,0,0,461,1,0,0,4,174.5,6.5,0,18.5,0,0.5,0.5,0,5,1.5,0.5,0.5,0,2171,0,0,0,0.5,0.5,4,28.5,0,0.5,0,0,6.5,1,0,0,2,0,0,0,0,4.5,0,663.5,19.5,18.5,0.5,11.5,5,1,0,0,1.5,1,185,3.5,3.5,1,0,782.5,0,0.5,4,2.5,0,6,21,95,0,0,0,1,0,6.5,136,0,122.5,1,3.5,1,4,1.5,1,0.5,6,3.5,3,1622.5,11736,4,3,0,0,0,3,0,1,23,0,0.5,0,0,0.5,0.5,0,0,1,2.5,2,0.5,0,0,0,1,0,0,0,0.5,3.5,0.5,5,3,36,12,0.5,0,0.5,0,2,0.5,8.5,8.5,9.5,385.5,0,17,0,0,0,0,1,78,19.5,0,0,1063,0,0,1,1.5,0,260,0,0,7.5,0,392.5,175.5,3,8,0,1,0,0.5,7,0,2.5,0,0,0,0,0,0.5,0,0,13,93,1.5,0,191,0.5,1,0,0,134.5,0,0,245.5,0.5,1651.5,182.5,0,28,1,29,2.5,0,430,0,7,7.5,0,0.5,0,0,0,0,2.5,2.5,0,32.5,0,0,0,0.5,0,1,0,8.5,1,1.5,0,21,321,2,66,0,0,5,114,0.5,61.5,0,0,67.5,21.5,0,5.5,0.5,1.5,2,0,0,0.5,0,0,9.5,3.5,0
LOS3-early pre-onset,0.5,0,0.5,0,1,18.5,0,0,1.5,0.5,0,8.5,0,3.5,1683,0.5,0,0,0,5.5,7,7,1,0,0,0,0,127,1.5,53.5,0,0,8.5,0,0.5,5,0.5,0.5,0,0,23,0,0.5,0.5,0,1,103.5,0,0.5,18.5,0,0,0,0,0,1,116,0.5,0,0.5,0.5,74.5,2,4.5,0,1,1,9,3,0.5,4.5,2,0,0,1,0,0,13,0,0,0,357,1.5,3,0.5,1,126.5,8.5,0,21,0,0.5,0,0,4,2.5,0,0.5,0,8537.5,0,0,1,0.5,0,2,15.5,0,0,0,1,9.5,0.5,0,0,3.5,0,0,0,0,2,5.5,465,15,13,1,15.5,4,0,0,0,1,0.5,83.5,1.5,2,0.5,0,526,0,3,0,0.5,0,1,12.5,75,0,0,0.5,0,0,6.5,152.5,0,106,0,10.5,1,2.5,1.5,0.5,0.5,1,2,3.5,1232,9620.5,1.5,2.5,0,0,0,2,0,1.5,11.5,0.5,0,0,0,0,1,0,0,2,2.5,0,0,1,0,0,1,0,0,0,0,0.5,0,10,3.5,34,7.5,0.5,1,0,0,0,0,5.5,11.5,10,226.5,0,8,0,0,0,0.5,0.5,109.5,16,1.5,0,104,0.5,1,1,1,0.5,0,0,1,5,0,288,155,1.5,3,0,5.5,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,15.5,94,0,1,140,0,0,0,0,94.5,0,0,28.5,0,1182,148,0,9.5,1.5,25,4,0.5,847.5,0,6.5,5,0,0.5,0,0,0,0,3.5,2.5,0,13,1,0,0,0.5,0,0.5,0,6.5,0.5,3,0,17.5,225.5,4.5,60.5,0,0.5,1,84.5,1,56,0,0,70,1,0,3,0.5,0,4,0,0,0,0,0,0.5,2,0
LOS3-late pre-onset,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,108,0,37,0,0,36.5,0,0,911,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.5,0,0,0,0,5.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,1.5,0,0,0,0,0,0,0,0,0,63.5,0,0,0,0,8,0,0,0,0.5,0,214,3.5,2,0,0,1,0,0,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,20,161.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0,1291.5,0,0.5,0,12706,0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,2,0,0,0,0.5,2.5,0,0,2,0,24.5,2.5,0,0.5,0,0.5,0,0,12180.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0.5,0,0,0,0,0,0,0,5,0,2,0,1.5,12,2,0,1.5,0,0,1,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
